(489, 85)
(520, 188)
(509, 232)
(500, 237)
(492, 238)
(486, 237)
(485, 237)
(486, 256)
(477, 277)
(471, 294)
(210, 299)
(151, 236)
(116, 259)
(140, 269)
(139, 253)
(332, 363)
(337, 276)
(331, 228)
(353, 213)
(351, 190)
(316, 236)
(300, 147)
(280, 135)
(293, 160)
(277, 185)
(253, 251)
(258, 267)
(264, 261)
(264, 270)
(262, 263)
(288, 258)
(295, 251)
(294, 254)
(291, 217)
(270, 298)
(330, 310)
(328, 290)
(319, 300)
(338, 346)
(371, 317)
(426, 186)
(449, 209)
(263, 44)
(261, 56)
(259, 75)
(258, 82)
(259, 78)
(264, 58)
(266, 48)
(266, 40)
(266, 41)
(274, 57)
(273, 72)
(253, 90)
(230, 95)
(196, 86)
(175, 84)
(176, 83)
(185, 81)
(193, 92)
(180, 99)
(207, 97)
(234, 94)
(243, 89)
(259, 72)
(296, 67)
(293, 54)
(293, 52)
(281, 34)
(234, 36)
(199, 42)
(206, 51)
(210, 47)
(215, 44)
(220, 42)
(223, 42)
(219, 48)
(232, 43)
(245, 37)
(253, 34)
(258, 35)
(261, 36)
(257, 11)
(256, 4)
(254, 4)
(253, 4)
(257, 9)
(256, 10)
(253, 12)
(241, 28)
(242, 21)
(246, 15)
(249, 26)
(246, 34)
(245, 17)
(226, 24)
(198, 49)
(178, 58)
(163, 58)
(180, 81)
(179, 95)
(181, 122)
(178, 113)
(172, 106)
(170, 118)
(167, 137)
(146, 127)
(146, 125)
(151, 121)
(157, 119)
(159, 117)
(160, 124)
(159, 140)
(160, 169)
(181, 208)
(215, 238)
(229, 251)
(230, 258)
(223, 273)
(213, 255)
(169, 235)
(149, 159)
(257, 133)
(249, 77)
(304, 72)
(329, 93)
(344, 97)
(331, 96)
(331, 99)
(347, 115)
(347, 117)
(352, 120)
(355, 123)
(360, 128)
(368, 126)
(368, 129)
(376, 131)
(375, 129)
(374, 123)
(414, 125)
(428, 141)
(460, 143)
(472, 138)
(310, 94)
(284, 75)
(258, 80)
(234, 128)
(217, 121)
(213, 117)
(215, 113)
(216, 111)
(218, 108)
(228, 107)
(232, 101)
(207, 106)
(211, 128)
(204, 144)
(210, 154)
(213, 156)
(210, 150)
(207, 154)
(200, 160)
(183, 168)
(162, 159)
(86, 118)
(187, 202)
(224, 279)
(223, 275)
(262, 257)
(303, 250)
(289, 237)
(335, 232)
(154, 75)
(103, 140)
(118, 188)
(123, 220)
(108, 233)
(91, 235)
(74, 231)
(70, 236)
(60, 210)
(58, 203)
(56, 185)
(46, 157)
(24, 141)
(22, 118)
(9, 65)
(-14, 73)
(0, 56)
(8, 58)
(11, 65)
(6, 73)
(8, 88)
(10, 134)
(6, 157)
(7, 165)
(9, 167)
(10, 160)
(17, 154)
(19, 152)
(26, 137)
(26, 137)
(24, 140)
(14, 144)
(-2, 153)
(-2, 201)
(1, 223)
(3, 259)
(0, 292)
(5, 288)
(19, 298)
(17, 294)
(14, 310)
(14, 304)
(12, 305)
(6, 312)
(2, 312)
(3, 309)
(1, 318)
(289, 272)
(190, 273)
(118, 283)
(94, 310)
(59, 307)
(421, 227)
(388, 194)
(294, 193)
(227, 201)
(231, 201)
(314, 199)
(356, 195)
(343, 209)
(319, 249)
(316, 278)
(350, 269)
(382, 238)
(373, 226)
(397, 219)
(415, 207)
(423, 199)
(433, 198)
(50, 132)
(81, 96)
(77, 95)
(77, 96)
(52, 133)
(52, 145)
(52, 144)
(48, 138)
(54, 144)
(53, 144)
(47, 145)
(53, 133)
(45, 137)
(41, 144)
(30, 147)
(26, 144)
(19, 141)
(21, 149)
(18, 168)
(18, 181)
(24, 194)
(51, 189)
(38, 154)
(36, 130)
(57, 139)
(254, 267)
(254, 269)
(252, 275)
(255, 281)
(255, 286)
(468, 284)
(467, 318)
(383, 255)
(381, 257)
(380, 257)
(381, 257)
(381, 257)
(381, 257)
(380, 257)
(380, 257)
(380, 257)
(296, 106)
(300, 106)
(304, 118)
(304, 148)
(300, 174)
(301, 197)
(308, 206)
(317, 211)
(341, 212)
(366, 214)
(430, 219)
(467, 218)
(457, 206)
(339, 228)
(325, 215)
(323, 214)
(320, 211)
(320, 211)
(321, 212)
(321, 212)
(330, 211)
(337, 211)
(346, 211)
(367, 211)
(363, 210)
(376, 207)
(382, 205)
(382, 205)
(382, 205)
(382, 206)
(381, 206)
(379, 207)
(314, 332)
(295, 337)
(297, 338)
